FILE   NUM   WORD   COUNT 
TC1.txt   1   conservative   2 
TC1.txt   2   achievement   1 
TC1.txt   3   adequate   1 
TC1.txt   4   adventures   1 
TC1.txt   5   anal   1 
TC1.txt   6   andrews   1 
TC1.txt   7   assessed   1 
TC1.txt   8   bedding   1 
TC1.txt   9   blues   1 
TC1.txt   10   buying   1 
TC1.txt   11   cartridge   1 
TC1.txt   12   cgi   1 
TC1.txt   13   championship   1 
TC1.txt   14   clear   1 
TC1.txt   15   club   1 
TC1.txt   16   coastal   1 
TC1.txt   17   collect   1 
TC1.txt   18   comm   1 
TC1.txt   19   confirm   1 
TC1.txt   20   consistent   1 
TC1.txt   21   contamination   1 
TC1.txt   22   could   1 
TC1.txt   23   cove   1 
TC1.txt   24   craps   1 
TC1.txt   25   customized   1 
TC1.txt   26   danish   1 
TC1.txt   27   dial   1 
TC1.txt   28   drum   1 
TC1.txt   29   ebony   1 
TC1.txt   30   enhanced   1 
TC1.txt   31   exhaust   1 
TC1.txt   32   explorer   1 
TC1.txt   33   father   1 
TC1.txt   34   firms   1 
TC1.txt   35   fonts   1 
TC1.txt   36   glenn   1 
TC1.txt   37   gothic   1 
TC1.txt   38   guestbook   1 
TC1.txt   39   hiking   1 
TC1.txt   40   hyundai   1 
TC1.txt   41   influences   1 
TC1.txt   42   instrumentation   1 
TC1.txt   43   introduces   1 
TC1.txt   44   journey   1 
TC1.txt   45   kinda   1 
TC1.txt   46   kodak   1 
TC1.txt   47   leisure   1 
TC1.txt   48   liable   1 
TC1.txt   49   lies   1 
TC1.txt   50   locks   1 
TC1.txt   51   louis   1 
TC1.txt   52   malpractice   1 
TC1.txt   53   manufacturer   1 
TC1.txt   54   marathon   1 
TC1.txt   55   math   1 
TC1.txt   56   matters   1 
TC1.txt   57   meals   1 
TC1.txt   58   media   1 
TC1.txt   59   mon   1 
TC1.txt   60   mortality   1 
TC1.txt   61   mother   1 
TC1.txt   62   nba   1 
TC1.txt   63   newer   1 
TC1.txt   64   nightmare   1 
TC1.txt   65   nor   1 
TC1.txt   66   oakland   1 
TC1.txt   67   p   1 
TC1.txt   68   password   1 
TC1.txt   69   pct   1 
TC1.txt   70   pens   1 
TC1.txt   71   permission   1 
TC1.txt   72   permissions   1 
TC1.txt   73   peter   1 
TC1.txt   74   photography   1 
TC1.txt   75   pin   1 
TC1.txt   76   potentially   1 
TC1.txt   77   pubmed   1 
TC1.txt   78   recorded   1 
TC1.txt   79   regulatory   1 
TC1.txt   80   rl   1 
TC1.txt   81   scoring   1 
TC1.txt   82   seats   1 
TC1.txt   83   seed   1 
TC1.txt   84   shadow   1 
TC1.txt   85   shower   1 
TC1.txt   86   significance   1 
TC1.txt   87   sparc   1 
TC1.txt   88   sure   1 
TC1.txt   89   tab   1 
TC1.txt   90   taxes   1 
TC1.txt   91   tea   1 
TC1.txt   92   teaches   1 
TC1.txt   93   tions   1 
TC1.txt   94   trained   1 
TC1.txt   95   uni   1 
TC1.txt   96   vagina   1 
TC1.txt   97   wan   1 
TC1.txt   98   webcast   1 
TC1.txt   99   worse   1 
Exectution Time 0.0
FILE   NUM   WORD   COUNT 
TC2.txt   1   amongst   4 
TC2.txt   2   brass   4 
TC2.txt   3   chain   4 
TC2.txt   4   doc   4 
TC2.txt   5   filme   4 
TC2.txt   6   holders   4 
TC2.txt   7   inflation   4 
TC2.txt   8   kingston   4 
TC2.txt   9   lease   4 
TC2.txt   10   monaco   4 
TC2.txt   11   revenues   4 
TC2.txt   12   targeted   4 
TC2.txt   13   pre   3 
TC2.txt   14   wood   3 
TC2.txt   15   advantages   1 
TC2.txt   16   afternoon   1 
TC2.txt   17   algebra   1 
TC2.txt   18   amounts   1 
TC2.txt   19   anchor   1 
TC2.txt   20   answering   1 
TC2.txt   21   apache   1 
TC2.txt   22   atomic   1 
TC2.txt   23   attending   1 
TC2.txt   24   automation   1 
TC2.txt   25   bases   1 
TC2.txt   26   biz   1 
TC2.txt   27   blowjob   1 
TC2.txt   28   boots   1 
TC2.txt   29   builders   1 
TC2.txt   30   cannon   1 
TC2.txt   31   catalog   1 
TC2.txt   32   cheese   1 
TC2.txt   33   chosen   1 
TC2.txt   34   clan   1 
TC2.txt   35   classes   1 
TC2.txt   36   come   1 
TC2.txt   37   comic   1 
TC2.txt   38   compatibility   1 
TC2.txt   39   conduct   1 
TC2.txt   40   conferencing   1 
TC2.txt   41   consisting   1 
TC2.txt   42   container   1 
TC2.txt   43   corp   1 
TC2.txt   44   correct   1 
TC2.txt   45   correlation   1 
TC2.txt   46   creates   1 
TC2.txt   47   croatia   1 
TC2.txt   48   dean   1 
TC2.txt   49   deck   1 
TC2.txt   50   defence   1 
TC2.txt   51   delays   1 
TC2.txt   52   disposal   1 
TC2.txt   53   exams   1 
TC2.txt   54   excessive   1 
TC2.txt   55   faculty   1 
TC2.txt   56   feeding   1 
TC2.txt   57   females   1 
TC2.txt   58   fill   1 
TC2.txt   59   filter   1 
TC2.txt   60   fioricet   1 
TC2.txt   61   form   1 
TC2.txt   62   frozen   1 
TC2.txt   63   galleries   1 
TC2.txt   64   genome   1 
TC2.txt   65   goals   1 
TC2.txt   66   hall   1 
TC2.txt   67   hampshire   1 
TC2.txt   68   history   1 
TC2.txt   69   ht   1 
TC2.txt   70   hub   1 
TC2.txt   71   icons   1 
TC2.txt   72   ignored   1 
TC2.txt   73   initiative   1 
TC2.txt   74   instantly   1 
TC2.txt   75   interface   1 
TC2.txt   76   ion   1 
TC2.txt   77   italy   1 
TC2.txt   78   j   1 
TC2.txt   79   jeff   1 
TC2.txt   80   jon   1 
TC2.txt   81   jose   1 
TC2.txt   82   kuwait   1 
TC2.txt   83   literacy   1 
TC2.txt   84   magazines   1 
TC2.txt   85   males   1 
TC2.txt   86   man   1 
TC2.txt   87   mens   1 
TC2.txt   88   midi   1 
