FILE   NUM   REG   BIN   HEX 
TC1.txt   0   6980368.0   01001010110101010000011000100000   0x4ad50620 
TC1.txt   1   5517055.0   01001010101010000101110111111110   0x4aa85dfe 
TC1.txt   2   1336159.0   01001001101000110001101011111000   0x49a31af8 
TC1.txt   3   6750185.0   01001010110011011111111111010010   0x4acdffd2 
TC1.txt   4   1771937.0   01001001110110000100110100001000   0x49d84d08 
TC1.txt   5   360952.0   01001000101100000011111100000000   0x48b03f00 
TC1.txt   6   5672561.0   01001010101011010001110011100010   0x4aad1ce2 
TC1.txt   7   916583.0   01001001010111111100011001110000   0x495fc670 
TC1.txt   8   2700138.0   01001010001001001100110110101000   0x4a24cda8 
TC1.txt   9   9645053.0   01001011000100110010101111111101   0x4b132bfd 
TC1.txt   10   1181110.0   01001001100100000010110110110000   0x49902db0 
TC1.txt   11   1492185.0   01001001101101100010011011001000   0x49b626c8 
TC1.txt   12   4018595.0   01001010011101010100011010001100   0x4a75468c 
TC1.txt   13   7654888.0   01001010111010011001101111010000   0x4ae99bd0 
TC1.txt   14   7062453.0   01001010110101111000011101101010   0x4ad7876a 
TC1.txt   15   2478010.0   01001010000101110011111011101000   0x4a173ee8 
TC1.txt   16   6134768.0   01001010101110110011011111100000   0x4abb37e0 
TC1.txt   17   8420417.0   01001011000000000111110001000001   0x4b007c41 
TC1.txt   18   2917489.0   01001010001100100001000111000100   0x4a3211c4 
TC1.txt   19   3340773.0   01001010010010111110011110010100   0x4a4be794 
TC1.txt   20   1115956.0   01001001100010000011100110100000   0x498839a0 
TC1.txt   21   9172192.0   01001011000010111111010011100000   0x4b0bf4e0 
TC1.txt   22   6271996.0   01001010101111110110011111111000   0x4abf67f8 
TC1.txt   23   8686939.0   01001011000001001000110101011011   0x4b048d5b 
TC1.txt   24   50986.0   01000111010001110010101000000000   0x47472a00 
TC1.txt   25   9376410.0   01001011000011110001001010011010   0x4b0f129a 
TC1.txt   26   5962327.0   01001010101101011111010010101110   0x4ab5f4ae 
TC1.txt   27   7686891.0   01001010111010101001010111010110   0x4aea95d6 
TC1.txt   28   6615183.0   01001010110010011110000100011110   0x4ac9e11e 
TC1.txt   29   1864844.0   01001001111000111010010001100000   0x49e3a460 
TC1.txt   30   3329962.0   01001010010010110011111010101000   0x4a4b3ea8 
TC1.txt   31   3942794.0   01001010011100001010011000101000   0x4a70a628 
TC1.txt   32   2614836.0   01001010000111111001100011010000   0x4a1f98d0 
TC1.txt   33   7406772.0   01001010111000100000100101101000   0x4ae20968 
TC1.txt   34   2384190.0   01001010000100011000010011111000   0x4a1184f8 
TC1.txt   35   398347.0   01001000110000101000000101100000   0x48c28160 
TC1.txt   36   8698503.0   01001011000001001011101010000111   0x4b04ba87 
TC1.txt   37   9551696.0   01001011000100011011111101010000   0x4b11bf50 
TC1.txt   38   1019556.0   01001001011110001110101001000000   0x4978ea40 
TC1.txt   39   1677430.0   01001001110011001100001110110000   0x49ccc3b0 
